Name,L_gp,R_gp,Thick_gp,SFP_Loc,SFP_Len,Thick_sfp,Oxide_Thick,BV,Leakage_2,Cgd_2,Leakage,Cgg,Cgs,Cds,Cgd,Vti
L_4_R_2_Th_2_Nb_2_Th2_Len_12_Loc_235_Ox_1,0.4,0.2,0.2,2.35,1.2,0.2,0.1,139.508,5.473,62.3,-0.005473,1.4e-07,-7.76e-08,-3.1e-08,-6.23e-08,-2.838
L_4_R_2_Th_2_Nb_2_Th4_Len_12_Loc_235_Ox_2,0.4,0.2,0.2,2.35,1.2,0.4,0.2,188.788,5.688,61.8,-0.005688,1.37e-07,-7.53e-08,-1.82e-08,-6.18e-08,-2.832
L_4_R_2_Th_4_Nb_2_Th4_Len_4_Loc_265_Ox_1,0.4,0.2,0.4,2.65,0.4,0.4,0.1,192.148,1.939,59.8,-0.001939,1.32e-07,-7.18e-08,-1.62e-08,-5.98e-08,-2.815
L_4_R_2_Th_2_Nb_2_Th2_Len_8_Loc_235_Ox_1,0.4,0.2,0.2,2.35,0.8,0.2,0.1,172.948,5.448,62.3,-0.005448,1.4e-07,-7.76e-08,-2.12e-08,-6.23e-08,-2.838
L_4_R_2_Th_2_Nb_2_Th6_Len_8_Loc_265_Ox_1,0.4,0.2,0.2,2.65,0.8,0.6,0.1,213.908,1.788,64.3,-0.001788,1.41e-07,-7.66e-08,-2.2e-08,-6.43e-08,-2.844
L_4_R_2_Th_2_Nb_2_Th2_Len_8_Loc_265_Ox_2,0.4,0.2,0.2,2.65,0.8,0.2,0.2,32.148,6.033,62.0,-0.006033,1.36e-07,-7.37e-08,-1.36e-08,-6.2e-08,-2.829
L_4_R_2_Th_2_Nb_2_Th4_Len_12_Loc_235_Ox_1,0.4,0.2,0.2,2.35,1.2,0.4,0.1,201.428,1.092,64.6,-0.001092,1.45e-07,-8.03e-08,-2.91e-08,-6.46e-08,-2.854
L_4_R_2_Th_2_Nb_2_Th6_Len_12_Loc_235_Ox_2,0.4,0.2,0.2,2.35,1.2,0.6,0.2,188.788,5.823,64.0,-0.005823,1.41e-07,-7.71e-08,-1.68e-08,-6.4e-08,-2.843
L_4_R_2_Th_4_Nb_2_Th2_Len_4_Loc_235_Ox_2,0.4,0.2,0.4,2.35,0.4,0.2,0.2,207.188,4.608,61.9,-0.004608,1.38e-07,-7.56e-08,-7.24e-09,-6.19e-08,-2.832
L_4_R_2_Th_2_Nb_2_Th2_Len_4_Loc_295_Ox_1,0.4,0.2,0.2,2.95,0.4,0.2,0.1,37.908,5.663,63.6,-0.005663,1.39e-07,-7.54e-08,-1.44e-08,-6.36e-08,-2.838
L_4_R_2_Th_2_Nb_2_Th6_Len_4_Loc_295_Ox_1,0.4,0.2,0.2,2.95,0.4,0.6,0.1,217.428,1.796,64.6,-0.001796,1.41e-07,-7.64e-08,-1.37e-08,-6.46e-08,-2.844
L_4_R_2_Th_2_Nb_2_Th2_Len_4_Loc_235_Ox_2,0.4,0.2,0.2,2.35,0.4,0.2,0.2,34.068,5.742,61.3,-0.005742,1.36e-07,-7.47e-08,-7.63e-09,-6.13e-08,-2.829
L_4_R_2_Th_2_Nb_2_Th6_Len_4_Loc_235_Ox_2,0.4,0.2,0.2,2.35,0.4,0.6,0.2,196.948,5.826,64.0,-0.005826,1.41e-07,-7.71e-08,-6.06e-09,-6.4e-08,-2.843
L_4_R_2_Th_2_Nb_2_Th4_Len_4_Loc_265_Ox_2,0.4,0.2,0.2,2.65,0.4,0.4,0.2,41.268,5.802,62.5,-0.005802,1.37e-07,-7.43e-08,-8.01e-09,-6.25e-08,-2.832
L_4_R_2_Th_2_Nb_2_Th2_Len_4_Loc_295_Ox_2,0.4,0.2,0.2,2.95,0.4,0.2,0.2,33.428,6.015,62.1,-0.006015,1.36e-07,-7.36e-08,-8.51e-09,-6.21e-08,-2.829
L_4_R_2_Th_2_Nb_2_Th6_Len_4_Loc_295_Ox_2,0.4,0.2,0.2,2.95,0.4,0.6,0.2,38.388,5.9,64.8,-0.0059,1.41e-07,-7.6e-08,-6.97e-09,-6.48e-08,-2.843
L_4_R_2_Th_2_Nb_2_Th6_Len_4_Loc_325_Ox_2,0.4,0.2,0.2,3.25,0.4,0.6,0.2,37.108,5.966,64.8,-0.005966,1.41e-07,-7.6e-08,-8.5e-09,-6.48e-08,-2.843
L_4_R_2_Th_2_Nb_2_Th2_Len_8_Loc_265_Ox_1,0.4,0.2,0.2,2.65,0.8,0.2,0.1,146.468,5.669,63.4,-0.005669,1.39e-07,-7.57e-08,-2.27e-08,-6.34e-08,-2.838
L_4_R_2_Th_2_Nb_2_Th4_Len_8_Loc_235_Ox_2,0.4,0.2,0.2,2.35,0.8,0.4,0.2,193.908,5.689,61.8,-0.005689,1.37e-07,-7.53e-08,-1.25e-08,-6.18e-08,-2.832
L_4_R_2_Th_2_Nb_2_Th6_Len_8_Loc_265_Ox_2,0.4,0.2,0.2,2.65,0.8,0.6,0.2,42.228,5.947,64.6,-0.005947,1.41e-07,-7.61e-08,-1.2e-08,-6.46e-08,-2.843
L_4_R_2_Th_2_Nb_2_Th2_Len_12_Loc_235_Ox_2,0.4,0.2,0.2,2.35,1.2,0.2,0.2,33.428,5.89,61.3,-0.00589,1.36e-07,-7.47e-08,-1.85e-08,-6.13e-08,-2.829
L_4_R_2_Th_4_Nb_2_Th2_Len_4_Loc_265_Ox_1,0.4,0.2,0.4,2.65,0.4,0.2,0.1,190.388,2.11,65.8,-0.00211,1.44e-07,-7.85e-08,-1.2e-08,-6.58e-08,-2.854
L_4_R_2_Th_4_Nb_2_Th4_Len_4_Loc_325_Ox_1,0.4,0.2,0.4,3.25,0.4,0.4,0.1,137.588,2.174,64.8,-0.002174,1.41e-07,-7.66e-08,-1.66e-08,-6.48e-08,-2.844
L_4_R_4_Th_2_Nb_2_Th2_Len_4_Loc_235_Ox_2,0.4,0.4,0.2,2.35,0.4,0.2,0.2,184.948,5.65,75.1,-0.00565,1.58e-07,-8.27e-08,-3.43e-09,-7.51e-08,-2.851
L_4_R_2_Th_2_Nb_2_Th2_Len_4_Loc_235_Ox_1,0.4,0.2,0.2,2.35,0.4,0.2,0.1,188.628,5.471,62.3,-0.005471,1.4e-07,-7.76e-08,-1.28e-08,-6.23e-08,-2.838
L_4_R_2_Th_2_Nb_2_Th4_Len_4_Loc_235_Ox_1,0.4,0.2,0.2,2.35,0.4,0.4,0.1,315.188,1.093,64.6,-0.001093,1.45e-07,-8.03e-08,-1.1e-08,-6.46e-08,-2.854
L_4_R_2_Th_2_Nb_2_Th6_Len_4_Loc_235_Ox_1,0.4,0.2,0.2,2.35,0.4,0.6,0.1,300.148,1.725,63.2,-0.001725,1.42e-07,-7.86e-08,-1.21e-08,-6.32e-08,-2.844
